place,courier,lat,lng
AMRAVATI, DTDC, 20.9374238, 77.7795513
BADAUN, DTDC, 28.0337088, 79.12054189999999
CHANDRAPUR, DTDC, 19.9704597, 79.30148450000002
FIROZABAD, DTDC, 27.1591006, 78.3957574
GUWAHATI SUPER FRANCHISEE APEX GUWAHATI, DTDC, 26.1445169, 91.7362365
HALDIA, DTDC, 22.0666742, 88.06981180000001
PALI, DTDC, 25.7710893, 73.3234478
RENUKOOT, DTDC, 24.2034315, 83.0398201
Dibrugarh, FD, 27.4728327, 94.9119621
Ernakulam, FD, 9.9816358, 76.2998842
Jorhat, FD, 26.7465203, 94.2025859
Kollam, FD, 8.8932118, 76.6141396
Kottayam, FD, 9.591566799999999, 76.5221531
Kozhikode, FD, 11.2587531, 75.78041
Palakkad, FD, 10.7867303, 76.6547932
Pune, FD, 18.5204303, 73.8567437
Raigarh, FD, 21.8974003, 83.39496319999999
Thane, FD, 19.2183307, 72.9780897
Theni, FD, 10.0103658, 77.4768115
Tinsukia, FD, 27.4921909, 95.346775
